Explicit,CN
0.025762,0.0280511
0.0245225,0.0199045
0.0192576,0.0235089
0.0229378,0.0221864
0.0216193,0.0285836
0.0206984,0.0186072
0.0204174,0.0269338
0.0233832,0.0218732
0.0194359,0.0239001
0.0236631,0.0236929
0.0212907,0.0175727
0.0299989,0.0223373
0.0191144,0.0169248
0.0206298,0.0220335
0.0203836,0.0230421
0.0199311,0.0209259
0.0194774,0.020514
0.018841,0.0204072
0.0189851,0.023273
0.0190955,0.0219506
0.0199804,0.0204554
0.0191737,0.0213763
0.0189999,0.0208563
0.0191198,0.0236922
0.020068,0.0205225
0.0194982,0.0211979
0.0207969,0.0203024
0.0189268,0.0202338
0.0205042,0.0231475
0.018733,0.0204453
0.0191519,0.0200977
0.0192566,0.0209131
0.0192777,0.0204817
0.0207296,0.0237631
0.0222178,0.0213149
0.0225052,0.021107
0.0208331,0.0203565
0.0191912,0.0202185
0.0188486,0.0244557
0.0202996,0.0213578
0.0189566,0.0224034
0.0257153,0.0203023
0.0195962,0.0200253
0.0199719,0.0224983
0.020042,0.0203752
0.0191159,0.0207007
0.0191568,0.0209264
0.0190089,0.0202603
0.0204679,0.022519
0.0192855,0.0214245
0.0193556,0.0199999
0.0189729,0.0203277
0.0197456,0.0201154
0.0203218,0.0230101
0.0194443,0.0216553
0.0189684,0.0203547
0.0189777,0.0206306
0.0193626,0.0212785
0.0205289,0.0232192
0.0203016,0.022129
0.0206662,0.0253138
0.0188433,0.0187659
0.0205129,0.0227697
0.0220018,0.0216901
0.0197586,0.0203743
0.0206908,0.0207723
0.0197412,0.0199711
0.0193598,0.021343
0.0233879,0.022123
0.0196325,0.0216407
0.0189759,0.0211771
0.0184163,0.020275
0.0196509,0.0210271
0.0231451,0.02319
0.0203744,0.0200347
0.0194392,0.0174632
0.021648,0.0209291
0.019743,0.0210849
0.0217695,0.0207938
0.0193589,0.0204886
0.0188708,0.0204587
0.0186916,0.0200736
0.0190049,0.0200689
0.0217436,0.0210744
0.0216123,0.0203111
0.0195232,0.0227018
0.0187183,0.0184251
0.0207614,0.0222348
0.0213287,0.0229297
0.020731,0.0207144
0.0196775,0.020432
0.0191975,0.0203371
0.0201973,0.0205582
0.0209469,0.0220517
0.0199502,0.0218291
0.0194363,0.0211621
0.0183645,0.020937
0.0200587,0.0204599
0.0216954,0.0247464
0.0182326,0.0195682
0.0173918,0.0207252
0.0193578,0.0208301
0.0190487,0.021118
0.0233513,0.0232667
0.0221478,0.0216114
0.0200777,0.0206783
0.0189769,0.0204633
0.0189035,0.0220894
0.0224493,0.0216128
0.0190514,0.0208041
0.0201939,0.0209178
0.0192584,0.0290801
0.0211168,0.02249
0.0216643,0.0204375
0.0188921,0.0255955
0.0197659,0.0204263
0.018952,0.0213635
0.0205435,0.0235286
0.019722,0.0211383
0.0191118,0.0204472
0.0201082,0.0204017
0.0192752,0.0206048
0.0218169,0.0216564
0.0194188,0.0239043
0.0200941,0.0207021
0.0195972,0.0213157
0.0194083,0.0202116
0.0213204,0.0238538
0.0199394,0.0210874
0.0193308,0.0204044
0.0196526,0.0206946
0.0201729,0.0209386
0.021347,0.0229412
0.0196216,0.0214552
0.0189533,0.0223175
0.0184881,0.0170845
0.0228042,0.0222012
0.0261701,0.0217911
0.0200596,0.0203175
0.0196989,0.020315
0.0188822,0.0208812
0.0191492,0.021643
0.0205089,0.0228116
0.0199767,0.0209214
0.0190254,0.0216652
0.0190204,0.0207613
0.0192645,0.0218351
0.0225389,0.0215765
0.0187088,0.0194029
0.0188423,0.0213351
0.0197542,0.0209096
0.0186793,0.0217314
0.0213657,0.0216305
0.0190774,0.0207591
0.019995,0.0210073
0.0189919,0.0199406
0.0187924,0.0220138
0.0215483,0.0216521
0.0192628,0.0206947
0.0193354,0.0214842
0.0193311,0.0200063
0.0199317,0.0251333
0.0264868,0.0220296
0.0199244,0.0207963
0.0200703,0.019801
0.0193461,0.0209695
0.0189426,0.0261969
0.0210542,0.0212462
0.0211691,0.0239167
0.0202826,0.0209385
0.0194081,0.0208448
0.0212881,0.0284527
0.022349,0.0189802
0.019493,0.0195922
0.0171969,0.0203732
0.0193035,0.0210131
0.0260214,0.02098
0.0192553,0.020745
0.0188271,0.021914
0.0188483,0.020751
0.0197846,0.0202036
0.0239676,0.020893
0.0197338,0.0205767
0.0193233,0.0225193
0.0274428,0.0212352
0.0167276,0.0187242
0.0219498,0.0229618
0.01994,0.0217178
0.01901,0.0205305
0.0205653,0.0209902
0.0197621,0.0241007
0.0209681,0.02142
0.0198918,0.0202166
0.0195442,0.0199211
0.0194317,0.0203155
0.0184699,0.0220016
0.021474,0.0210122
0.020552,0.0228229
0.0202524,0.0230863
0.0191125,0.0214294
0.0193826,0.0245227
0.0195573,0.0202849
0.0196189,0.0203006
0.0198036,0.0209877
0.0193669,0.0203196
0.0190725,0.0251292
0.0208473,0.0216202
0.019381,0.020775
0.0203144,0.020723
0.0196346,0.0314908
0.0224345,0.0203878
0.0219661,0.0216933
0.019753,0.0218092
0.0191094,0.0203032
0.0194907,0.0204586
0.0223926,0.0225179
0.019783,0.0205601
0.0192755,0.021284
0.0191827,0.0199854
0.0188591,0.0199819
0.021226,0.0236719
0.0214422,0.018969
0.020144,0.0220255
0.0204706,0.0209063
0.0191057,0.0208541
0.0207657,0.025089
0.0188402,0.0206529
0.0193698,0.0221184
0.0205867,0.0204476
0.0201749,0.0230416
0.0209535,0.0219881
0.0194422,0.0206897
0.0195573,0.0209144
0.0195681,0.0190783
0.017393,0.01996
0.021429,0.0212545
0.0210242,0.0210932
0.0196108,0.0204434
0.0194344,0.0205791
0.0210235,0.0211409
0.0221603,0.0227382
0.0207131,0.0217745
0.0189813,0.0207642
0.0191326,0.0202111
0.0199134,0.0204671
0.0230031,0.0232131
0.0226144,0.0236343
0.0182201,0.0216021
0.0197292,0.0205356
0.0194101,0.0231588
0.0211118,0.0218042
0.0190944,0.0213548
0.0206474,0.020757
0.0188916,0.0206859
0.0190524,0.0230666
0.0215349,0.0202038
0.0194394,0.020064
0.0201168,0.0203032
0.02036,0.0190574
0.0169974,0.0224101
0.0222754,0.0209248
0.0200049,0.0208472
0.0194857,0.0206419
0.0198077,0.0208851
0.0188798,0.0226936
0.0215278,0.0212536
0.0195439,0.020958
0.0186128,0.020098
0.0196251,0.0205807
0.0192225,0.0211554
0.0233453,0.0234147
0.0207303,0.0304184
0.0219404,0.0198345
0.0209472,0.0203981
0.0194887,0.0240794
0.0216358,0.0210119
0.0207636,0.0207795
0.0194852,0.0204401
0.0196661,0.0205328
0.0212145,0.0221337
0.0200851,0.0204798
0.0196738,0.0211426
0.0222505,0.0213783
0.0219438,0.0293137
0.0220339,0.0233596
0.0196289,0.0202954
0.0199313,0.0207366
0.0192346,0.0201108
0.0192163,0.0232734
0.0196121,0.0226424
0.0206342,0.0207908
0.0193867,0.0200057
0.019424,0.0204563
0.0193075,0.0237707
0.0227818,0.0204006
0.0189381,0.0192326
0.019954,0.0236533
0.0195627,0.0213831
0.0193328,0.0235598
0.021734,0.021547
0.0197721,0.0205304
0.0201059,0.0206516
0.0187574,0.0211652
0.019241,0.0208331
0.0247514,0.0220772
0.0203142,0.02036
0.0196198,0.0217737
0.0187977,0.0222959
0.0185881,0.0232086
0.0215468,0.0223674
0.0197293,0.0207868
0.018995,0.0198114
0.0188218,0.0206178
0.0188113,0.0232208
0.0216321,0.0220255
0.0209952,0.0202441
0.0194908,0.0208793
0.0195803,0.0213706
0.0187458,0.0230276
0.0222782,0.0211491
0.0194867,0.0225896
0.017962,0.0209958
0.0190987,0.0211247
0.0184626,0.0205188
0.0216007,0.0226692
0.0199962,0.0217643
0.0193999,0.0204737
0.0193527,0.0225642
0.0195949,0.0227213
0.020265,0.0231605
0.0201374,0.0209654
0.0190764,0.0223848
0.0183051,0.0187312
0.0177286,0.0239502
0.0217237,0.0218441
0.0205521,0.0205986
0.0202546,0.0198484
0.0190571,0.0211568
0.0196862,0.0232802
0.0213116,0.0219761
0.0197824,0.0201066
0.019728,0.0215332
0.0189329,0.0203257
0.0190743,0.061988
0.0187378,0.0225446
0.0210595,0.0229693
0.0186255,0.0205068
0.0198703,0.0206828
0.0203521,0.022685
0.0195589,0.020261
0.0199228,0.0206969
0.0198679,0.019883
0.0190926,0.0212711
0.0205129,0.0251578
0.0191333,0.0210936
0.0191448,0.0213339
0.0195995,0.0211342
0.0211494,0.0179275
0.0224163,0.0214158
0.0197381,0.0216011
0.0194452,0.020133
0.0194585,0.0211976
0.0191649,0.0232489
0.0208923,0.0209129
0.0194721,0.0209196
0.0190482,0.0209274
0.0200668,0.0203612
0.0200455,0.0207596
0.0235866,0.0211963
0.0197024,0.0227873
0.0195502,0.021875
0.0188942,0.0217899
0.0201046,0.0217418
0.0230205,0.0211703
0.0197285,0.0206663
0.0196425,0.0206624
0.0191617,0.0201071
0.0188102,0.0233093
0.0215289,0.0220809
0.0200222,0.0203657
0.0206426,0.0223341
0.019356,0.0196152
0.01953,0.0218872
0.0209583,0.0208498
0.0197514,0.0205261
0.0192314,0.0215223
0.0189894,0.02073
0.0198948,0.022792
0.0214347,0.0214215
0.0194031,0.0202154
0.019674,0.0214265
0.0187693,0.0207383
0.018677,0.0226121
0.0248128,0.0213207
0.0180138,0.0187
0.0228844,0.0215299
0.019378,0.020562
0.0193717,0.0238132
0.0209055,0.0212153
0.0189451,0.0218519
0.0191727,0.0199932
0.020114,0.0200479
0.0190303,0.0225951
0.0221045,0.021517
0.0199008,0.0209032
0.0207939,0.0212444
0.0211667,0.0229354
0.0198921,0.0234892
0.021915,0.0226772
0.0197349,0.0205061
0.0198456,0.0201963
0.0190557,0.0218828
0.0205944,0.0211949
0.0198055,0.021639
0.0193912,0.0210638
0.0192268,0.0212352
0.0187596,0.0202298
0.0214306,0.0218248
0.0216925,0.0198509
0.0209756,0.0195909
0.0208695,0.0207569
0.0188588,0.0202046
0.0213188,0.0231463
0.0194936,0.0210197
0.0200298,0.0200329
0.0205818,0.0213705
0.0193688,0.0201204
0.0211523,0.0231615
0.0197255,0.0208254
0.019389,0.021924
0.0197491,0.0217022
0.0224459,0.029633
0.0412245,0.0220355
0.0202208,0.0203134
0.0199351,0.0203251
0.0192854,0.0204655
0.021135,0.0230782
0.0207441,0.0228618
0.0197815,0.0209766
0.0192037,0.0200392
0.0207315,0.0205272
0.0206826,0.0229309
0.0198654,0.0271957
0.0183866,0.0216781
0.0195949,0.0209233
0.0203022,0.0211302
0.0191906,0.023367
0.0209584,0.0221137
0.0192784,0.0209175
0.01898,0.0203798
0.0195787,0.0211144
0.0194025,0.0244462
0.0194864,0.0216579
0.0202772,0.0210135
0.019322,0.0209621
0.0349463,0.0221454
0.0239835,0.0242198
0.019997,0.0216571
0.0198554,0.0202631
0.0189945,0.0211653
0.0189929,0.0231533
0.0223218,0.0211868
0.020997,0.0211467
0.0204485,0.020999
0.0186404,0.0203143
0.0196871,0.0250808
0.0211482,0.0329342
0.0214651,0.0221896
0.0203161,0.0210117
0.0191748,0.020444
0.0224192,0.0217147
0.0203902,0.0207766
0.0190418,0.0203288
0.0193585,0.0204812
0.0206665,0.019921
0.0230424,0.0218424
0.0199704,0.0209772
0.0250311,0.0198723
0.0185256,0.0186584
0.0203308,0.0211512
0.0235533,0.0265283
0.0200665,0.0206993
0.0190012,0.0208752
0.0192819,0.0223052
