xValues,tValues,Solution
1.59184,0.44898,3.87642
1.63265,0.44898,4.07379
1.67347,0.44898,4.27094
1.71429,0.44898,4.45772
1.7551,0.44898,4.6168
1.79592,0.44898,4.72362
1.83673,0.44898,4.75169
1.87755,0.44898,4.67306
1.91837,0.44898,4.53982
1.95918,0.44898,3.92587
2,0.44898,6.48422
0,0.489796,0.00759926
0.0408163,0.489796,0.048136
0.0816327,0.489796,0.0927154
0.122449,0.489796,0.138259
0.163265,0.489796,0.185181
0.204082,0.489796,0.233789
0.244898,0.489796,0.284303
0.285714,0.489796,0.336877
0.326531,0.489796,0.391632
0.367347,0.489796,0.448671
0.408163,0.489796,0.50809
0.44898,0.489796,0.569988
0.489796,0.489796,0.634467
0.530612,0.489796,0.701633
0.571429,0.489796,0.771598
0.612245,0.489796,0.844478
0.653061,0.489796,0.920394
0.693878,0.489796,0.999472
0.734694,0.489796,1.08185
0.77551,0.489796,1.16765
0.816327,0.489796,1.25703
0.857143,0.489796,1.35013
0.897959,0.489796,1.44712
0.938776,0.489796,1.54814
0.979592,0.489796,1.65337
1.02041,0.489796,1.76298
1.06122,0.489796,1.87717
1.10204,0.489796,1.99611
1.14286,0.489796,2.12
1.18367,0.489796,2.24905
1.22449,0.489796,2.38349
1.26531,0.489796,2.52352
1.30612,0.489796,2.66938
1.34694,0.489796,2.82133
1.38776,0.489796,2.9796
1.42857,0.489796,3.14445
1.46939,0.489796,3.31613
1.5102,0.489796,3.49479
1.55102,0.489796,3.68029
1.59184,0.489796,3.87174
1.63265,0.489796,4.06654
1.67347,0.489796,4.25884
1.71429,0.489796,4.43768
1.7551,0.489796,4.5858
1.79592,0.489796,4.68047
1.83673,0.489796,4.69908
1.87755,0.489796,4.61845
1.91837,0.489796,4.49415
1.95918,0.489796,3.89986
2,0.489796,6.48422
0,0.530612,0.00763158
0.0408163,0.530612,0.0483354
0.0816327,0.530612,0.0930681
0.122449,0.530612,0.138721
0.163265,0.530612,0.185703
0.204082,0.530612,0.234329
0.244898,0.530612,0.284828
0.285714,0.530612,0.337367
0.326531,0.530612,0.392073
0.367347,0.530612,0.449056
0.408163,0.530612,0.508415
0.44898,0.530612,0.57025
0.489796,0.530612,0.634663
0.530612,0.530612,0.70176
0.571429,0.530612,0.771654
0.612245,0.530612,0.84446
0.653061,0.530612,0.920299
0.693878,0.530612,0.999297
0.734694,0.530612,1.08159
0.77551,0.530612,1.16731
0.816327,0.530612,1.25659
0.857143,0.530612,1.3496
0.897959,0.530612,1.44649
0.938776,0.530612,1.54741
0.979592,0.530612,1.65253
1.02041,0.530612,1.76204
1.06122,0.530612,1.8761
1.10204,0.530612,1.99492
1.14286,0.530612,2.11869
1.18367,0.530612,2.24761
1.22449,0.530612,2.38191
1.26531,0.530612,2.5218
1.30612,0.530612,2.66752
1.34694,0.530612,2.8193
1.38776,0.530612,2.97741
1.42857,0.530612,3.14208
1.46939,0.530612,3.31352
1.5102,0.530612,3.49179
1.55102,0.530612,3.67654
1.59184,0.530612,3.86647
1.63265,0.530612,4.05831
1.67347,0.530612,4.24543
1.71429,0.530612,4.41637
1.7551,0.530612,4.55433
1.79592,0.530612,4.63849
1.83673,0.530612,4.64968
1.87755,0.530612,4.56857
1.91837,0.530612,4.45322
1.95918,0.530612,3.8768
2,0.530612,6.48422
0,0.571429,0.00766192
0.0408163,0.571429,0.0485229
0.0816327,0.571429,0.0934016
0.122449,0.571429,0.13916
0.163265,0.571429,0.186205
0.204082,0.571429,0.234853
0.244898,0.571429,0.285342
0.285714,0.571429,0.337849
0.326531,0.571429,0.392509
0.367347,0.571429,0.449438
0.408163,0.571429,0.508737
0.44898,0.571429,0.570509
0.489796,0.571429,0.634857
0.530612,0.571429,0.701886
0.571429,0.571429,0.771709
0.612245,0.571429,0.844441
0.653061,0.571429,0.920203
0.693878,0.571429,0.999121
0.734694,0.571429,1.08133
0.77551,0.571429,1.16696
0.816327,0.571429,1.25616
0.857143,0.571429,1.34907
0.897959,0.571429,1.44586
0.938776,0.571429,1.54667
0.979592,0.571429,1.65169
1.02041,0.571429,1.76109
1.06122,0.571429,1.87504
1.10204,0.571429,1.99373
1.14286,0.571429,2.11738
1.18367,0.571429,2.24617
1.22449,0.571429,2.38033
1.26531,0.571429,2.52008
1.30612,0.571429,2.66565
1.34694,0.571429,2.81728
1.38776,0.571429,2.97522
1.42857,0.571429,3.13968
1.46939,0.571429,3.31084
